#미-패U01-1,13,60
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
#!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,미드 영어회화,mid-unit1,1,1,너에게 이걸 사줄거야.,I'm gonna get you for this.,snd001_1_1_너에게 이걸 사줄거야,0,snd001_1_1_I'm gonna get you for this,1,,
2,미드 영어회화,mid-unit1,1,1,여기서 나갈 꺼야.,I'm gonna get out of here.,snd001_1_2_여기서 나갈 거야,0,snd001_1_2_I'm gonna get out of here,1,,
3,미드 영어회화,mid-unit1,1,1,그 여자에게 데이트 신청 할 거야.,I'm gonna ask her out.,snd001_1_3_그 여자에게 데이트 신청 할 거야,2,snd001_1_3_I'm gonna ask her out,1,,
4,미드 영어회화,mid-unit1,1,1,너를 신고해야만 할 거야.,I'm gonna have to report you.,snd001_1_4_너를 신고해야만 할 거야,2,snd001_1_4_I'm gonna have to report you,1,,
5,미드 영어회화,mid-unit1,1,1,그 남자를 포기 할 거야.,I'm gonna give up on him.*( give up on + 사람 ),snd001_1_5_그 남자를 포기 할 거야,2,snd001_1_5_I'm gonna give up on him,1,,
6,미드 영어회화,mid-unit1,1,2,나는 겁먹지 않을 거야.,I'm not gonna be intimidated.,snd002_1_1_나는 겁먹지 않을 거야,1,snd002_1_1_I'm not gonna be intimidated,1,,
7,미드 영어회화,mid-unit1,1,2,그렇게 돈을 많이 내지는 않을 거야.,I'm not gonna pay that much.,snd002_1_2_그렇게 돈을 많이 내지는 않을 거야,1,snd002_1_2_I'm not gonna pay that much,1,,
8,미드 영어회화,mid-unit1,1,2,너한테 말하지 않을 거야.,I'm not gonna tell you.,snd002_1_3_너한테 말하지 않을 거야,1,snd002_1_3_I'm not gonna tell you,1,,
