미-패U06-1,13,20
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,미드 영어회화,mid-unit6,6,47,교수님에게 물어보자.,Let's ask the professor.,snd047_1_1_교수님에게 물어보자,,snd047_1_1_Let's ask the professor,1,,
2,미드 영어회화,mid-unit6,6,47,이걸 신고하자.,Let's report this.,snd047_1_2_이걸 신고하자,,snd047_1_2_Let's report this,1,,
3,미드 영어회화,mid-unit6,6,47,그건 잊어버리자.,Let's forget about it.,snd047_1_3_그건 잊어버리자,,snd047_1_3_Let's forget about it,1,,
4,미드 영어회화,mid-unit6,6,47,파티를 열자.,Let's have a party.,snd047_1_4_파티를 열자,,snd047_1_4_Let's have a party,1,,
5,미드 영어회화,mid-unit6,6,47,아이들에게 말해주자.,Let's tell the kids.,snd047_1_5_아이들에게 말해주자,,snd047_1_5_Let's tell the kids,,,
6,미드 영어회화,mid-unit6,6,48,술마시고 취해 보자.,Let's get drunk.,snd048_1_1_술마시고 취해 보자,,snd048_1_1_Let's get drunk,,,
7,미드 영어회화,mid-unit6,6,48,진지하게 하자.,Let's get serious.,snd048_1_2_진지하게 하자,,snd048_1_2_Let's get serious,,,
8,미드 영어회화,mid-unit6,6,48,어리석게 굴지 마.,Let's get real.,snd048_1_3_어리석게 굴지 마,,snd048_1_3_Let's get real,,,
9,미드 영어회화,mid-unit6,6,48,제대로 정신을 차려 보자.,Let's get it together.,snd048_1_4_제대로 정신을 차려 보자,,snd048_1_4_Let's get it together,,,
10,미드 영어회화,mid-unit6,6,48,같이 자자.,Let's get laid.,snd048_1_5_같이 자자,,snd048_1_5_Let's get laid,,,
11,미드 영어회화,mid-unit6,6,49,내가 뭘 좀 말해줄게.,Let me tell you something.,snd049_1_1_내가 뭘 좀 말해줄게,,snd049_1_1_Let me tell you something,,,
